,destination,canonical_destination
7246,https://en.wikipedia.org/wiki/Portland_International_Jetport,https://en.wikipedia.org/wiki/Portland_International_Jetport
7267,https://en.wikipedia.org/wiki/Bert_Mooney_Airport,https://en.wikipedia.org/wiki/Bert_Mooney_Airport
7269,https://en.wikipedia.org/wiki/Casper%E2%80%93Natrona_County_International_Airport,https://en.wikipedia.org/wiki/Casper%E2%80%93Natrona_County_International_Airport
7272,https://en.wikipedia.org/wiki/Cheyenne_Regional_Airport,https://en.wikipedia.org/wiki/Cheyenne_Regional_Airport
7273,https://en.wikipedia.org/wiki/Yellowstone_Regional_Airport,https://en.wikipedia.org/wiki/Yellowstone_Regional_Airport
7277,https://en.wikipedia.org/wiki/Devils_Lake_Regional_Airport,https://en.wikipedia.org/wiki/Devils_Lake_Regional_Airport
7278,https://en.wikipedia.org/wiki/Dickinson_Theodore_Roosevelt_Regional_Airport,https://en.wikipedia.org/wiki/Dickinson_Theodore_Roosevelt_Regional_Airport
7279,https://en.wikipedia.org/wiki/Dodge_City_Regional_Airport,https://en.wikipedia.org/wiki/Dodge_City_Regional_Airport
7289,https://en.wikipedia.org/wiki/Gillette%E2%80%93Campbell_County_Airport,https://en.wikipedia.org/wiki/Gillette%E2%80%93Campbell_County_Airport
7295,https://en.wikipedia.org/wiki/Gunnison%E2%80%93Crested_Butte_Regional_Airport,https://en.wikipedia.org/wiki/Gunnison%E2%80%93Crested_Butte_Regional_Airport
7297,https://en.wikipedia.org/wiki/Hays_Regional_Airport,https://en.wikipedia.org/wiki/Hays_Regional_Airport
7298,https://en.wikipedia.org/wiki/Helena_Regional_Airport,https://en.wikipedia.org/wiki/Helena_Regional_Airport
7299,https://en.wikipedia.org/wiki/Lea_County_Regional_Airport,https://en.wikipedia.org/wiki/Lea_County_Regional_Airport
7300,https://en.wikipedia.org/wiki/Huntsville_International_Airport,https://en.wikipedia.org/wiki/Huntsville_International_Airport
7304,https://en.wikipedia.org/wiki/Jamestown_Regional_Airport,https://en.wikipedia.org/wiki/Jamestown_Regional_Airport
7305,https://en.wikipedia.org/wiki/Joplin_Regional_Airport,https://en.wikipedia.org/wiki/Joplin_Regional_Airport
7307,https://en.wikipedia.org/wiki/Laramie_Regional_Airport,https://en.wikipedia.org/wiki/Laramie_Regional_Airport
7308,https://en.wikipedia.org/wiki/Lewiston-Nez_Perce_County_Airport,https://en.wikipedia.org/wiki/Lewiston%E2%80%93Nez_Perce_County_Airport
7309,https://en.wikipedia.org/wiki/Liberal_Mid-America_Regional_Airport,https://en.wikipedia.org/wiki/Liberal_Mid-America_Regional_Airport
7310,https://en.wikipedia.org/wiki/Lincoln_Airport_(Nebraska),https://en.wikipedia.org/wiki/Lincoln_Airport_(Nebraska)
7320,https://en.wikipedia.org/wiki/Canyonlands_Field,https://en.wikipedia.org/wiki/Canyonlands_Regional_Airport
7321,https://en.wikipedia.org/wiki/Quad_Cities_International_Airport,https://en.wikipedia.org/wiki/Quad_Cities_International_Airport
7326,https://en.wikipedia.org/wiki/North_Platte_Regional_Airport,https://en.wikipedia.org/wiki/North_Platte_Regional_Airport
7336,https://en.wikipedia.org/wiki/Central_Wyoming_Regional_Airport,https://en.wikipedia.org/wiki/Central_Wyoming_Regional_Airport
7337,https://en.wikipedia.org/wiki/Southwest_Wyoming_Regional_Airport,https://en.wikipedia.org/wiki/Southwest_Wyoming_Regional_Airport
7339,https://en.wikipedia.org/wiki/Salina_Regional_Airport,https://en.wikipedia.org/wiki/Salina_Regional_Airport
7348,https://en.wikipedia.org/wiki/Western_Nebraska_Regional_Airport,https://en.wikipedia.org/wiki/Western_Nebraska_Regional_Airport
7349,https://en.wikipedia.org/wiki/Sheridan_County_Airport,https://en.wikipedia.org/wiki/Sheridan_County_Airport
7350,https://en.wikipedia.org/wiki/Shreveport_Regional_Airport,https://en.wikipedia.org/wiki/Shreveport_Regional_Airport
7351,https://en.wikipedia.org/wiki/Sioux_Gateway_Airport,https://en.wikipedia.org/wiki/Sioux_Gateway_Airport
7362,https://en.wikipedia.org/wiki/Vernal_Regional_Airport,https://en.wikipedia.org/wiki/Vernal_Regional_Airport
7364,https://en.wikipedia.org/wiki/Williston_Basin_International_Airport,https://en.wikipedia.org/wiki/Williston_Basin_International_Airport
7374,https://en.wikipedia.org/wiki/Yellowstone_Airport,https://en.wikipedia.org/wiki/Yellowstone_Airport
7404,https://en.wikipedia.org/wiki/Minneapolis/St._Paul_International_Airport,https://en.wikipedia.org/wiki/Minneapolis%E2%80%93Saint_Paul_International_Airport
7474,https://en.wikipedia.org/wiki/Raleigh-Durham_International_Airport,https://en.wikipedia.org/wiki/Raleigh%E2%80%93Durham_International_Airport
7476,https://en.wikipedia.org/wiki/Sarasota/Bradenton_International_Airport,https://en.wikipedia.org/wiki/Sarasota%E2%80%93Bradenton_International_Airport
7479,https://en.wikipedia.org/wiki/Vero_Beach_Regional_Airport,https://en.wikipedia.org/wiki/Vero_Beach_Regional_Airport
7522,https://en.wikipedia.org/wiki/Tweed_New_Haven_Airport,https://en.wikipedia.org/wiki/Tweed_New_Haven_Airport
7523,https://en.wikipedia.org/wiki/Wilmington_Airport_(Delaware),https://en.wikipedia.org/wiki/Wilmington_Airport_(Delaware)
7540,https://en.wikipedia.org/wiki/Akron-Canton_Airport,https://en.wikipedia.org/wiki/Akron%E2%80%93Canton_Airport
7545,https://en.wikipedia.org/wiki/Concord_Regional_Airport,https://en.wikipedia.org/wiki/Concord-Padgett_Regional_Airport
7547,https://en.wikipedia.org/wiki/Rickenbacker_International_Airport,https://en.wikipedia.org/wiki/Rickenbacker_International_Airport
7553,https://en.wikipedia.org/wiki/Blue_Grass_Airport,https://en.wikipedia.org/wiki/Blue_Grass_Airport
7561,https://en.wikipedia.org/wiki/Bangor_International_Airport,https://en.wikipedia.org/wiki/Bangor_International_Airport
7573,https://en.wikipedia.org/wiki/Wilmington_International_Airport,https://en.wikipedia.org/wiki/Wilmington_International_Airport
7575,https://en.wikipedia.org/wiki/Val_de_Cans_International_Airport,https://en.wikipedia.org/wiki/Bel%C3%A9m/Val-de-Cans_International_Airport
7576,https://en.wikipedia.org/wiki/Tancredo_Neves_International_Airport,https://en.wikipedia.org/wiki/Belo_Horizonte_International_Airport
7577,https://en.wikipedia.org/wiki/Viracopos_International_Airport,https://en.wikipedia.org/wiki/Viracopos_International_Airport
7578,https://en.wikipedia.org/wiki/Eduardo_Gomes_International_Airport,https://en.wikipedia.org/wiki/Eduardo_Gomes_International_Airport
7579,https://en.wikipedia.org/wiki/Recife/Guararapes%E2%80%93Gilberto_Freyre_International_Airport,https://en.wikipedia.org/wiki/Recife/Guararapes%E2%80%93Gilberto_Freyre_International_Airport
7602,https://en.wikipedia.org/wiki/Atlanta_Hartsfield-Jackson_International_Airport,https://en.wikipedia.org/wiki/Hartsfield%E2%80%93Jackson_Atlanta_International_Airport
7603,https://en.wikipedia.org/wiki/Buffalo_International_Airport,https://en.wikipedia.org/wiki/Buffalo_Niagara_International_Airport
7604,https://en.wikipedia.org/wiki/Chicago-Midway_International_Airport,https://en.wikipedia.org/wiki/Midway_International_Airport
7607,https://en.wikipedia.org/wiki/Long_Island_MacArthur_Airport,https://en.wikipedia.org/wiki/Long_Island_MacArthur_Airport
7608,https://en.wikipedia.org/wiki/Stewart_International_Airport,https://en.wikipedia.org/wiki/Stewart_International_Airport
7611,https://en.wikipedia.org/wiki/Trenton_Mercer_Airport,https://en.wikipedia.org/wiki/Trenton%E2%80%93Mercer_Airport
7620,https://en.wikipedia.org/wiki/Jos%C3%A9_Joaqu%C3%ADn_de_Olmedo_International_Airport,https://en.wikipedia.org/wiki/Jos%C3%A9_Joaqu%C3%ADn_de_Olmedo_International_Airport
7638,https://en.wikipedia.org/wiki/T._F._Green_Airport,https://en.wikipedia.org/wiki/Rhode_Island_T._F._Green_International_Airport
7649,https://en.wikipedia.org/wiki/Tallahassee_International_Airport,https://en.wikipedia.org/wiki/Tallahassee_International_Airport
7652,https://en.wikipedia.org/wiki/Worcester_Regional_Airport,https://en.wikipedia.org/wiki/Worcester_Regional_Airport
7653,https://en.wikipedia.org/wiki/Rafael_Hern%C3%A1ndez_Airport,https://en.wikipedia.org/wiki/Rafael_Hern%C3%A1ndez_Airport
7661,https://en.wikipedia.org/wiki/Governor%27s_Harbour_Airport,https://en.wikipedia.org/wiki/Governor%27s_Harbour_Airport
7663,https://en.wikipedia.org/wiki/Key_West_International_Airport,https://en.wikipedia.org/wiki/Key_West_International_Airport
7664,https://en.wikipedia.org/wiki/Marsh_Harbour_Airport,https://en.wikipedia.org/wiki/Marsh_Harbour_Airport
7666,https://en.wikipedia.org/wiki/North_Eleuthera_Airport,https://en.wikipedia.org/wiki/North_Eleuthera_Airport
7669,https://en.wikipedia.org/wiki/South_Bimini_Airport,https://en.wikipedia.org/wiki/South_Bimini_Airport
7706,https://en.wikipedia.org/wiki/Manchester-Boston_Regional_Airport,https://en.wikipedia.org/wiki/Manchester%E2%80%93Boston_Regional_Airport
7713,https://en.wikipedia.org/wiki/El_Ed%C3%A9n_International_Airport,https://en.wikipedia.org/wiki/El_Ed%C3%A9n_International_Airport
7719,https://en.wikipedia.org/wiki/Ernesto_Cortissoz_International_Airport,https://en.wikipedia.org/wiki/Ernesto_Cortissoz_International_Airport
7722,https://en.wikipedia.org/wiki/Palonegro_International_Airport,https://en.wikipedia.org/wiki/Palonegro_International_Airport
7725,https://en.wikipedia.org/wiki/Cap-Ha%C3%AFtien_International_Airport,https://en.wikipedia.org/wiki/Cap-Ha%C3%AFtien_International_Airport
7745,https://en.wikipedia.org/wiki/Manchester%E2%80%93Boston_Regional_Airport,https://en.wikipedia.org/wiki/Manchester%E2%80%93Boston_Regional_Airport
7769,https://en.wikipedia.org/wiki/Cibao_International_Airport,https://en.wikipedia.org/wiki/Cibao_International_Airport
7771,https://en.wikipedia.org/wiki/Henry_E._Rohlsen_Airport,https://en.wikipedia.org/wiki/Henry_E._Rohlsen_Airport
7774,https://en.wikipedia.org/wiki/Cyril_E._King_Airport,https://en.wikipedia.org/wiki/Cyril_E._King_Airport
7823,https://en.wikipedia.org/wiki/Trenton%E2%80%93Mercer_Airport,https://en.wikipedia.org/wiki/Trenton%E2%80%93Mercer_Airport
7870,https://en.wikipedia.org/wiki/Chippewa_Valley_Regional_Airport,https://en.wikipedia.org/wiki/Chippewa_Valley_Regional_Airport
7900,https://en.wikipedia.org/wiki/North_Central_West_Virginia_Airport,https://en.wikipedia.org/wiki/North_Central_West_Virginia_Airport
7904,https://en.wikipedia.org/wiki/Dayton_International_Airport,https://en.wikipedia.org/wiki/Dayton_International_Airport
7906,https://en.wikipedia.org/wiki/Evansville_Regional_Airport,https://en.wikipedia.org/wiki/Evansville_Regional_Airport
7908,https://en.wikipedia.org/wiki/Tri-State_Airport,https://en.wikipedia.org/wiki/Tri-State_Airport
7966,https://en.wikipedia.org/wiki/Chicago_O%E2%80%99Hare_International_Airport,https://en.wikipedia.org/wiki/O%27Hare_International_Airport
8012,https://en.wikipedia.org/wiki/Lambert_St._Louis_International_Airport,https://en.wikipedia.org/wiki/St._Louis_Lambert_International_Airport
8044,https://en.wikipedia.org/wiki/Hartsfield_Jackson_Atlanta_International_Airport,https://en.wikipedia.org/wiki/Hartsfield%E2%80%93Jackson_Atlanta_International_Airport
8050,https://en.wikipedia.org/wiki/Newark_International_Airport,https://en.wikipedia.org/wiki/Newark_Liberty_International_Airport
8064,https://en.wikipedia.org/wiki/Minneapolis/St_Paul_International_Airport,https://en.wikipedia.org/wiki/Minneapolis%E2%80%93Saint_Paul_International_Airport
8065,https://en.wikipedia.org/wiki/Belfast_International_Airport,https://en.wikipedia.org/wiki/Belfast_International_Airport
8095,https://en.wikipedia.org/wiki/Flamingo_International_Airport,https://en.wikipedia.org/wiki/Flamingo_International_Airport
8118,https://en.wikipedia.org/wiki/Frank_Pais_Airport,https://en.wikipedia.org/wiki/Frank_Pa%C3%ADs_Airport
8147,https://en.wikipedia.org/wiki/Mateca%C3%B1a_International_Airport,https://en.wikipedia.org/wiki/Mateca%C3%B1a_International_Airport
8159,https://en.wikipedia.org/wiki/Rio_de_Janeiro/Gale%C3%A3o_International_Airport,https://en.wikipedia.org/wiki/Rio_de_Janeiro/Gale%C3%A3o_International_Airport
8193,https://en.wikipedia.org/wiki/Carrasco_International_Airport,https://en.wikipedia.org/wiki/Carrasco_International_Airport
8197,https://en.wikipedia.org/wiki/Clayton_J._Lloyd_International_Airport,https://en.wikipedia.org/wiki/Clayton_J._Lloyd_International_Airport
8203,https://en.wikipedia.org/wiki/Chattanooga_Metropolitan_Airport,https://en.wikipedia.org/wiki/Chattanooga_Metropolitan_Airport
8207,https://en.wikipedia.org/wiki/Douglas%E2%80%93Charles_Airport,https://en.wikipedia.org/wiki/Douglas%E2%80%93Charles_Airport
8211,https://en.wikipedia.org/wiki/Gainesville_Regional_Airport,https://en.wikipedia.org/wiki/Gainesville_Regional_Airport
8213,https://en.wikipedia.org/wiki/Piedmont_Triad_International_Airport,https://en.wikipedia.org/wiki/Piedmont_Triad_International_Airport
8241,https://en.wikipedia.org/wiki/Columbia_Metropolitan_Airport,https://en.wikipedia.org/wiki/Columbia_Metropolitan_Airport
