aircraft_osky;acft_icao;acft_class;seymour_proxy
G159;G159;TP;zzz
HAWK;HAWK;OTHER;zzz
NAVI;NAVI;PP;zzz
S15;SU15;OTHER;zzz
VEZE;VEZE;PP;zzz
AV68;AV68;PP;zzz
DH87;DH87;PP;zzz
L40;L40;PP;zzz
P337;P337;PP;zzz
340;C340;OTHER;zzz
APM2;APM2;PP;zzz
BL17;BL17;PP;zzz
E8;zzz;OTHER;zzz
JAB2;JAB2;PP;zzz
JS41;JS41;TP;JS41
L29B;L29B;PJ;zzz
MH90;zzz;OTHER;zzz
SJ30;SJ30;PJ;zzz
BCAT;BCAT;PP;zzz
SBR2;SBR2;PJ;zzz
TB30;TB30;PP;zzz
XA42;XA42;PP;zzz
B230;B230;HE;zzz
L12;L12;PP;zzz
MD81;MD81;NB;MD81
RENE;RENE;PP;zzz
S6;S6;PP;zzz
SATA;SATA;PJ;zzz
WA40;WA40;PP;zzz
BACE;zzz;OTHER;zzz
C195;C195;PP;zzz
CAPL;CAPL;PP;zzz
FA62;FA62;PP;zzz
H24;H204;PP;zzz
B200;BE20;PP;BE20
D6CR;D6CR;PP;zzz
EDGE;EDGE;PP;zzz
GNAT;GNAT;OTHER;zzz
J1;J1;PP;zzz
VELO;VELO;PP;zzz
BER2;BER2;OTHER;zzz
F5;F5;OTHER;zzz
JK05;JK05;PP;zzz
LA25;LA25;OTHER;zzz
NG4;NG4;PP;zzz
P220;P220;PP;zzz
RF4;RF4;PP;zzz
WA50;WA50;PP;zzz
WB57;WB57;OTHER;zzz
402B;zzz;OTHER;zzz
A178;A178;OTHER;zzz
CH75;CH75;PP;zzz
DC87;DC87;NB;MD87
DHC7;DHC7;TP;DHC7
LK17;LK17;PP;zzz
M326;M326;OTHER;zzz
R100;R100;PP;zzz
A10;A10;OTHER;zzz
A609;zzz;HE;zzz
AS20;AS20;PP;zzz
B742;B742;WB;B462
C30J-30 Hercules;C130;OTHER;zzz
CA41;CA41;PP;zzz
IS28;IS28;PP;zzz
L18;L18;PP;zzz
P68T;P68T;TP;zzz
P82;P82;PP;zzz
SCII;SCII;OTHER;zzz
UAV;zzz;OTHER;zzz
735;B735;NB;B735
AAT4;AAT4;PP;zzz
B300;BE30;PP;zzz
E3CF;E3CF;OTHER;zzz
MA5;MA5;PP;zzz
NIPR;NIPR;PP;zzz
SV4;SV4;PP;zzz
Z43;Z43;PP;zzz
321;A321;NB;A321
A748;A748;TP;zzz
AAT3;AAT3;PP;zzz
COZY;COZY;PP;zzz
DAL4;DAL4;PP;zzz
EV55;EV55;PP;zzz
F260;F260;PP;zzz
H60 ;H60;HE;zzz
JANU;JANU;PP;zzz
L13S;L13S;PP;zzz
MG17;MG17;OTHER;zzz
MS76;MS76;PJ;zzz
RBEL;RBEL;PP;zzz
SD4;SD4;PP;zzz
SHRK;SHRK;PP;zzz
TCAT;TCAT;PP;zzz
UHEL;UHEL;OTHER;zzz
ACAM;ACAM;PP;zzz
AS16;AS16;PP;zzz
B14A;B14A;PP;zzz
BE65;BE65;PP;BE55
DHC8;DH8C;TP;DH8C
F156;F156;PP;zzz
FA24;FA24;PP;zzz
GA6C;GA6C;PJ;zzz
H64;H64;HE;zzz
KA26;KA26;HE;zzz
LNP4;LNP4;TP;zzz
M20E;zzz;OTHER;zzz
MOSQ;MOSQ;PP;zzz
P63;P63;PP;zzz
RELI;RELI;PP;zzz
S208;S208;PP;zzz
SA30;SA30;PP;zzz
STAR;STAR;TP;zzz
SW2;SW2;TP;SW4
YAK3;YAK3;PP;zzz
319;A319;NB;A319
ALO2;ALO2;HE;zzz
AS22;AS22;PP;zzz
ASSO;zzz;OTHER;zzz
B39M;B39M;NB;B39M
B461;B461;RJ;B461
BD4;BD4;PP;zzz
BEAR;BEAR;PP;zzz
C205;C205;PP;C208
CAT;CAT;OTHER;zzz
CH7;CH7;HE;zzz
CH80;CH80;PP;zzz
CL4G;CL4G;TP;zzz
CV64;CVLT;PJ;CVLT
E530;zzz;OTHER;zzz
F35;F35;OTHER;zzz
F86;F86;OTHER;zzz
FOUG;FOUG;PJ;zzz
HUCO;HUCO;HE;zzz
HURI;HURI;PP;zzz
L101;L101;WB;L410
