AIRPORT;AIRPORT_COUNTRY_CODE_ISO;LATITUDE;LONGITUDE
AVV;AU;-38.04083333;144.4680556
AVW;US;32.40916667;-111.2180556
AVX;US;33.405;-118.4158333
AWA;ET;7.06111111;38.4875
AWK;;19.28;166.6402778
AWM;US;35.135;-90.23444444
AWR;PG;-4.12416667;144.8702778
AWX;US;32.32944444;-102.5302778
AWZ;IR;31.33777778;48.75972222
AXA;AI;18.21027778;-63.0575
AXB;US;44.31666667;-75.89972222
AXC;AU;-22.95805556;145.2425
AXD;GR;40.85555556;25.95
AXM;CO;4.45638889;-75.76805556
AXN;US;45.86722222;-95.39416667
AXP;BS;22.44194444;-73.97055556
AXS;US;34.69805556;-99.33805556
AXT;JP;39.61555556;140.2186111
AXU;ET;14.12083333;38.71666667
AXV;US;40.49333333;-84.29888889
AXX;US;36.42055556;-105.2894444
AYL;AU;-18.01666667;135.55
AYP;PE;-13.13333333;-74.2
AYQ;AU;-25.18611111;130.9755556
AYR;AU;-19.59666667;147.3244444
AYS;US;31.24916667;-82.39555556
AYT;TR;36.90555556;30.79055556
AYW;ID;-1.14166667;132.4783333
AZ1;US;35.65083333;-112.1480556
AZ2;US;35.30222222;-112.1941667
AZ3;US;33.52722222;-112.2952778
DQF;US;33.30777778;-111.6555556
AZA;US;33.30777778;-111.6555556
AZD;IR;31.89777778;54.28166667
AZG;MX;19.09361111;-102.3936111
AZO;US;42.23638889;-85.55361111
AZS;DO;19.26666667;-69.75
B19;US;43.46416667;-70.4725
B21;US;45.08611111;-70.21611111
BAA;PG;-5.31666667;151.0333333
BAB;US;39.13611111;-121.4355556
BAC;CO;4.56916667;-72.96722222
BAD;US;32.50166667;-93.6625
BAE;FR;44.38333333;6.63333333
BAF;US;42.16;-72.71638889
BAG;PH;16.37666667;120.6177778
BAH;BH;26.27083333;50.6375
BAI;CR;9.16583333;-83.3325
BAK;SU;40.4675;50.04666667
GYD;AZ;40.4675;50.04666667
BAL;TR;37.93166667;41.11888889
BAM;US;40.5975;-116.8722222
BAO;TH;17.38305556;102.8
BAQ;CO;10.89611111;-74.77888889
BAR;US;55.36666667;-133.6
BAT;DD;54.33888889;12.71138889
BAU;BR;-22.345;-49.05388889
BAV;CN;40.66666667;109.9833333
BAX;RU;53.36388889;83.54194444
BAY;RO;47.65;23.46666667
BBA;CL;-45.91666667;-71.695
BBC;US;28.97305556;-95.86333333
BBF;US;42.50833333;-71.18333333
BBI;IN;20.24361111;85.82
BBO;SO;10.39166667;44.95
BBQ;;17.55555556;-61.765
BBR;GP;16.01611111;-61.73888889
BBS;GB;51.32444444;-0.84055556
BBT;CF;4.21916667;15.78805556
BBU;RO;44.5;26.1
BBX;US;40.13666667;-75.2675
BBY;CF;5.84583333;20.64972222
BBZ;ZM;-13.53722222;23.11
BCA;CU;20.36444444;-74.50638889
BCB;US;37.20722222;-80.40694444
BCC;US;57.6175;-155.8672222
BCD;PH;10.6425;122.9297222
BCE;US;37.70638889;-112.1447222
BCH;TP;-8.49305556;126.4005556
BCI;AU;-23.55916667;145.3019444
BCJ;US;37.96666667;-105.7666667
BCL;CR;10.76777778;-83.58583333
BCM;RO;46.59861111;26.88194444
BCN;ES;41.30277778;2.09444444
BCS;US;29.86611111;-90.02222222
BCT;US;26.37083333;-80.10833333
BCY;ET;6.29222222;36.88722222
BDA;BM;32.36333333;-64.67805556
BDB;AU;-24.90583333;152.3208333
BDE;US;48.72083333;-94.6
BDG;US;37.58277778;-109.4825
BDH;IR;26.53138889;54.82361111
