,Unnamed: 0,max_population,max_passengers19,maxpax,wdpa_link,lat,lon,iata,icao,ISO_country,ISO_continent,year_pax_round2,pax_round2,consolidated_pax,h3,pop_30k,airport_30k,pax_h3_30k,pop_70k,airport_70k,pax_h3_70k,pop_150k,airport_150k,pax_h3_150k,GDP PPP,Gini,Surf,toursim_export_share,visiting_tourists,outbound_tourists,IHDI,is_country_island
48,48.0,,,,https://en.wikipedia.org/wiki/Lynn_Lake_Airport,56.864444444444,-101.07611111111,YYL,CYYL,CA,NA,2014,0,,88126c390dfffff,440.9912021813642,1.0,0.0,543.6643799736809,1.0,0.0,4411.501883561552,1.0,0.0,49171.51109,32.5,8965590.0,3.971326117,32430000.0,37845898.44,0.936,0
49,49.0,,,,https://en.wikipedia.org/wiki/Norway_House_Airport,53.958333333333,-97.844166666667,YNE,CYNE,CA,NA,,,,8827309707fffff,4234.957311374126,1.0,0.0,4229.323785259798,1.0,0.0,7645.80310352084,1.0,0.0,49171.51109,32.5,8965590.0,3.971326117,32430000.0,37845898.44,0.936,0
50,50.0,,,,https://en.wikipedia.org/wiki/Oxford_House_Airport,54.933055555556,-95.278888888889,YOH,CYOH,CA,NA,,,,880e9ba637fffff,2448.2596485284034,1.0,0.0,2337.233621621208,1.0,0.0,12859.224233423844,6.0,54554.0,49171.51109,32.5,8965590.0,3.971326117,32430000.0,37845898.44,0.936,0
51,51.0,,,,https://en.wikipedia.org/wiki/The_Pas_Airport,53.971388888889,-101.09111111111,YQD,CYQD,CA,NA,,,,88124d84e7fffff,10219.367211606013,1.0,0.0,11568.423892509367,1.0,0.0,26128.56399137059,2.0,0.0,49171.51109,32.5,8965590.0,3.971326117,32430000.0,37845898.44,0.936,0
52,52.0,,,20107.0,https://en.wikipedia.org/wiki/St._Theresa_Point_Airport,53.845555555556,-94.852222222222,YST,CYST,CA,NA,,,20107.0,8827266647fffff,7639.310114604674,2.0,38674.0,7787.509545573016,2.0,38674.0,13167.632857559376,6.0,62713.0,49171.51109,32.5,8965590.0,3.971326117,32430000.0,37845898.44,0.936,0
53,53.0,1019.0,,,https://en.wikipedia.org/wiki/Shamattawa_Airport,55.863055555556,-92.081388888889,ZTM,CZTM,CA,NA,,,,880e8a1659fffff,1092.2698875254714,1.0,0.0,1074.6373372467676,1.0,0.0,1065.65576570505,1.0,0.0,49171.51109,32.5,8965590.0,3.971326117,32430000.0,37845898.44,0.936,0
54,54.0,,,,https://en.wikipedia.org/wiki/Swan_River_Airport,52.121388888889,-101.23444444444,ZJN,CZJN,CA,NA,2010,0,,8812492537fffff,7687.399442702389,1.0,0.0,10299.964278936463,1.0,0.0,52596.32384135654,2.0,0.0,49171.51109,32.5,8965590.0,3.971326117,32430000.0,37845898.44,0.936,0
55,55.0,,168037.0,168037.0,https://en.wikipedia.org/wiki/Thompson_Airport,55.804722222222,-97.8625,YTH,CYTH,CA,NA,2019,168037,168037.0,880e9a0265fffff,13855.73440403821,1.0,168037.0,17456.128166608858,1.0,168037.0,21003.59324608212,2.0,168037.0,49171.51109,32.5,8965590.0,3.971326117,32430000.0,37845898.44,0.936,0
56,56.0,705244.0,4484249.0,4484343.0,https://en.wikipedia.org/wiki/Winnipeg_James_Armstrong_Richardson_International_Airport,49.91,-97.24,YWG,CYWG,CA,NA,2019,4484249,4484249.0,88271c9085fffff,789087.8135541551,1.0,4484249.0,879596.5488441065,1.0,4484249.0,1033435.4078498494,1.0,4484249.0,49171.51109,32.5,8965590.0,3.971326117,32430000.0,37845898.44,0.936,0
57,57.0,,,,https://en.wikipedia.org/wiki/York_Landing_Airport,56.089444444444,-96.089166666667,ZAC,CZAC,CA,NA,,,,880e980ad3fffff,2764.3095172152503,1.0,0.0,2942.2974818346247,1.0,0.0,20469.005419154706,4.0,168037.0,49171.51109,32.5,8965590.0,3.971326117,32430000.0,37845898.44,0.936,0
58,58.0,,,,https://en.wikipedia.org/wiki/Bathurst_Airport_(New_Brunswick),47.6297,-65.7389,ZBF,CZBF,CA,NA,,,,882b159501fffff,33979.723824158835,1.0,0.0,83143.06429209613,2.0,0.0,219598.2041011737,2.0,0.0,49171.51109,32.5,8965590.0,3.971326117,32430000.0,37845898.44,0.936,0
59,59.0,58220.0,427085.0,427085.0,https://en.wikipedia.org/wiki/Fredericton_International_Airport,45.8689,-66.5372,YFC,CYFC,CA,NA,2019,427085,427085.0,882b1cd42dfffff,118356.7683007143,1.0,427085.0,153456.89170506896,1.0,427085.0,435497.0277581094,2.0,708185.0,49171.51109,32.5,8965590.0,3.971326117,32430000.0,37845898.44,0.936,0
