,QID,itemLabel,icao,iata,max_population,lon,lat,alt_in_m,max_rwy_lenght_m,max_passengers19,maxpax,traffic_source_url,wdpa_link,wpda_iata,wpda_icao,wpda_passengers,wpda_movements,wpda_year_data
606,Q3235708,Shaikh Zayed International Airport,OPRK,RYK,420419,70.27972222,28.38388889,83,3000,,,,https://en.wikipedia.org/wiki/Shaikh_Zayed_International_Airport,RYK,OPRK,"87,341","1,546",(2017-18[3])
607,Q3503421,Saidu Sharif Airport,OPSS,SDT,,72.352777777778,34.813333333333,970,,,,,https://en.wikipedia.org/wiki/Saidu_Sharif_Airport,SDT,OPSS,,,
608,Q28461,Sialkot International Airport,OPST,SKT,591668,74.363888888889,32.535555555556,255,,,,,https://en.wikipedia.org/wiki/Sialkot_International_Airport,SKT,OPST,"790,043",,(2017-18)
609,Q2633552,Skardu Airport,OPSD,KDU,,75.536111111111,35.335555555556,2230,,,,,https://en.wikipedia.org/wiki/Skardu_International_Airport,KDU,OPSD,"60,871",462,(2017-18)
610,Q3544408,Sui Airport,OPSU,SUL,,69.176944444444,28.645277777778,233,,,,,https://en.wikipedia.org/wiki/Sui_Airport,SUL,OPSU,,,
611,Q2985129,Sukkur Airport,OPSK,SKZ,499900,68.791666666667,27.721944444444,60,,,,,https://en.wikipedia.org/wiki/Begum_Nusrat_Bhutto_International_Airport,SKZ,OPSK,"114,081","2,461",(2017-18)
612,Q2633549,Turbat International Airport,OPTU,TUK,,63.030277777778,25.986388888889,122,,,,,https://en.wikipedia.org/wiki/Turbat_International_Airport,TUK,OPTU,"54,534","1,118",(2017-18[1])
613,Q3502837,Zhob Airport,OPZB,PZH,,69.463611111111,31.358333333333,1441,,,,,https://en.wikipedia.org/wiki/Zhob_Airport,PZH,OPZB,"7,285",212,(2016-17)
614,Q60900,Bandaranaike International Airport,VCBI,CMB,752993,79.883611111111,7.1811111111111,7.9248156,3441,9962670,9962670,http://www.oic.go.th/FILEWEB/CABINFOCENTER6/DRAWER007/GENERAL/DATA0000/00000119.PDF,https://en.wikipedia.org/wiki/Bandaranaike_International_Airport,CMB,VCBI,,"37,599",(2022)
615,Q1101384,"Colombo International Airport, Ratmalana",VCCC,RML,752993,79.886208333333,6.8219944444444,5,,,,,"https://en.wikipedia.org/wiki/Colombo_International_Airport,_Ratmalana",RML,VCCC,,"236,387",(2016)
616,Q4802366,SLAF Koggala,VCCK,KCT,,80.320555555556,5.9938888888889,3,,,,,https://en.wikipedia.org/wiki/Koggala_Airport,KCT,VCCK,,,
617,Q1931181,Weerawila Airport,VCCW,WRZ,11213,81.233888888889,6.2541666666667,15.24003,,,,,https://en.wikipedia.org/wiki/Weerawila_Airport,WRZ,VCCW,,,
618,Q1148514,Brunei International Airport,WBSB,BWN,428697,114.92833333333,4.9441666666667,22.2504438,,,,,https://en.wikipedia.org/wiki/Brunei_International_Airport,BWN,WBSB,,,
619,Q1054163,Phnom Penh International Airport,VDPP,PNH,2129371,104.84388888889,11.546388888889,12.192024,,6029000,6252568,https://www.vinci-airports.com/sites/default/files/va_traffic_2019_en.pdf,https://en.wikipedia.org/wiki/Phnom_Penh_International_Airport,PNH,VDPP,,"22,323",(2022)
620,Q1054472,Siem Reap International Airport,VDSR,REP,147866,103.81277777778,13.410555555556,18.288036,,3926000,4480000,https://www.vinci-airports.com/sites/default/files/va_traffic_2019_en.pdf,https://en.wikipedia.org/wiki/Siem_Reap_International_Airport,REP,VDSR,,"4,773",(2022)
621,Q2113291,Sihanouk International Airport,VDSV,KOS,71082,103.63694444444,10.58,12.192024,2500,1680000,1680000,https://en.wikipedia.org/wiki/Sihanouk_International_Airport#Statistics,https://en.wikipedia.org/wiki/Sihanouk_International_Airport,KOS,VDSV,,654,(2021)
622,Q17704,Hong Kong International Airport,VHHH,HKG,7500700,113.914444,22.308889,8.5344168,3800,71538000,74359829,https://www.hongkongairport.com/iwov-resources/file/the-airport/hkia-at-a-glance/facts-figures/Dec2019e.pdf,https://en.wikipedia.org/wiki/Hong_Kong_International_Airport,HKG,VHHH,"1,196,000","130,000",(2021)
