,region,product,year,flow,volume,iea_code,Country,ISO3,OECD,CONTI,UE 28,level,UN_region,OECD_Region,volume_numeric,CO2e estimation
14660166,LAO,NONBIOJETK,2019,DOMESAIR,3.985,LAO,Lao People's Democratic Republic,LAO,NONOECD,ASIAPAC,NO,country,UNASIA,ASIA,3.985,12.592600000000001
14959895,LATVIA,NONBIOJETK,2019,AVBUNK,-152.009,LATVIA,Latvia,LVA,OECD,EUROPE,YES,country,UNEUROPE,OECDEUR,152.009,480.34844
14959900,LATVIA,NONBIOJETK,2019,DOMESAIR,0.125,LATVIA,Latvia,LVA,OECD,EUROPE,YES,country,UNEUROPE,OECDEUR,0.125,0.395
15149188,LEBANON,NONBIOJETK,2019,AVBUNK,-270.483,LEBANON,Lebanon,LBN,NONOECD,MIDDLE EAST,NO,country,UNASIA,MIDEAST,270.483,854.7262800000001
15285220,LIBYA,NONBIOJETK,2019,AVBUNK,-49.278,LIBYA,Libya,LBY,NONOECD,AFRICA,NO,country,AFRICA,AFRICA,49.278,155.71848
15285224,LIBYA,NONBIOJETK,2019,DOMESAIR,9.152,LIBYA,Libya,LBY,NONOECD,AFRICA,NO,country,AFRICA,AFRICA,9.152,28.92032
15510373,LITHUANIA,NONBIOJETK,2019,AVBUNK,-119.300,LITHUANIA,Lithuania,LTU,OECD,EUROPE,YES,country,UNEUROPE,OECDEUR,119.3,376.988
15510379,LITHUANIA,NONBIOJETK,2019,DOMESAIR,0.200,LITHUANIA,Lithuania,LTU,OECD,EUROPE,YES,country,UNEUROPE,OECDEUR,0.2,0.6320000000000001
15660613,LUXEMBOU,NONBIOJETK,2019,AVBUNK,-583.395,LUXEMBOU,Luxembourg,LUX,OECD,EUROPE,YES,country,UNEUROPE,OECDEUR,583.395,1843.5282
15772734,MALAYSIA,NONBIOJETK,2019,AVBUNK,-2619.691,MALAYSIA,Malaysia,MYS,NONOECD,ASIAPAC,NO,country,UNASIA,ASIA,2619.691,8278.22356
15772739,MALAYSIA,NONBIOJETK,2019,DOMESAIR,536.227,MALAYSIA,Malaysia,MYS,NONOECD,ASIAPAC,NO,country,UNASIA,ASIA,536.227,1694.47732
15908143,MALTA,NONBIOJETK,2019,AVBUNK,-160.460,MALTA,Malta,MLT,NONOECD,EUROPE,YES,country,UNEUROPE,EURASIA,160.46,507.0536000000001
15908148,MALTA,NONBIOJETK,2019,DOMESAIR,0.574,MALTA,Malta,MLT,NONOECD,EUROPE,YES,country,UNEUROPE,EURASIA,0.574,1.81384
16042385,MAURITIUS,NONBIOJETK,2019,AVBUNK,-289.672,MAURITIUS,Mauritius,MUS,NONOECD,AFRICA,NO,country,AFRICA,AFRICA,289.672,915.3635200000001
16042390,MAURITIUS,NONBIOJETK,2019,DOMESAIR,3.758,MAURITIUS,Mauritius,MUS,NONOECD,AFRICA,NO,country,AFRICA,AFRICA,3.758,11.87528
16183105,MEXICO,NONBIOJETK,2019,AVBUNK,-3897.000,MEXICO,Mexico,MEX,OECD,AMERICA,NO,country,UNAMERICAS,OECDAM,3897.0,12314.52
16408847,MOLDOVA,NONBIOJETK,2019,AVBUNK,-47.950,MOLDOVA,Republic of Moldova,MDA,NONOECD,EUROPE,NO,country,UNEUROPE,EURASIA,47.95,151.52200000000002
16658166,MONGOLIA,NONBIOJETK,2019,AVBUNK,-43.205,MONGOLIA,Mongolia,MNG,NONOECD,ASIAPAC,NO,country,UNASIA,ASIA,43.205,136.5278
